,09/03/17,,,,,,,,,,,,,,,,16/03/17,,,,,,,
,7i,7ii,8i,8ii,9,10,11,12,13,14,15,18i,18ii,19i,19ii,20,7i,7ii,8i,8ii,12i,12ii,13i,13ii
time to NEB,,,,,,,,,,,,,,,,,,,,,,,,
-8880,,,,,,,,,,,,,,,,,,,,,,,,
-8820,,,,,,,,,,,,,,,,,,,,,,,,
-8760,,,,,,,,,,,,,,,,,,,,,,,,
-8700,,,,,,,,,,,,,,,,,,,,,,,,
-8640,,,,,,,,,,,,,,,,,,,,,,,,
-8580,,,,,,,,,,,,,,,,,,,,,,,,
-8520,,,,,,,,,,,,,,,,,,,,,,,,
-8460,,,,,,,,,,,,,,,,,,,,,,,,
-8400,,,,,,,,,,,,,,,,,,,,,,,,
-8340,,,,,,,,,,,,,,,,,,,,,,,,
-8280,,,,,,,,,,,,,,,,,,,,,,,,
-8220,,,,,,,,,,,,,,,,,,,,,,,,
-8160,,,,,,,,,,,,,,,,,,,,,,,,
-8100,,,,,,,,,,,,,,,,,,,,,,,,
-8040,,,,,,,,,,,,,,,,,,,,,,,,
-7980,,,,,,,,,,,,,,,,,,,,,,,,
-7920,,,,,,,,,,,,,,,,,,,,,,,,
-7860,,,,,,,,,,,,,,,,,,,,,,,,
-7800,,,,,,,,,,,,,,,,,,,,,,,,
-7740,,,,,,,,,,,,,,,,,,,,,,,,
-7680,,,,,,,,,,,,,,,,,,,,,,,,
-7620,,,,,,,,,,,,,,,,,,,,,,,,
-7560,,,,,,,,,,,,,,,,,,,,,,,,
-7500,,,,,,,,,,,,,,,,,,,,,_blue_,_pink_,_blueDark_r,_blueDark_r
-7440,,,,,_blue_,,,,,,,,,,,,,,,,_blue_,_pink_,_blueDark_r,_blue_
-7380,,,,,_blueDark_r,,,,,,,,,,,,,,,,_blue_,_blueDark_g,_brown_r,_blue_
-7320,,,,,_blueDark_r,,,,,,,,,,,,,,,,_blueDark_r,_blue_,_blueDark_r,_blue_
-7260,,,,,_blueDark_r,,,,,,,,,,,,,,,,_blue_,_blue_,_blue_,_pinkDark_
-7200,,,,,_blueDark_r,,,,,,,,,,,,,,,,_blue_,_blue_,_blue_,_blue_
-7140,,,,,_blue_,,,,,,,,,,,,,,,,_blueDark_r,_brownDark_r,_blue_,_blue_
-7080,,,,,_blue_,,,,,,,,,,,,,,,,_blue_,_brown_r,_blue_,_blueDark_r
-7020,,,,,_blue_,,,,,,,,,,,,,,,,_blueDark_r,_pink_,_blue_,_blueDark_r
-6960,,,,,_blue_,,,,,,,,,,,,,,,,_brownDark_r,_brownDark_r,_blue_,_blueDark_g
-6900,,,,,_blue_,,,,,,,,,,,,,,,,_blue_,_brownDark_r,_blue_,_pink_
